date,actual_max_temp
2014-7-1,94
2014-7-2,94
2014-7-3,94
2014-7-4,91
2014-7-5,90
2014-7-6,89
2014-7-7,93
2014-7-8,92
2014-7-9,95
2014-7-10,93
2014-7-11,94
2014-7-12,94
2014-7-13,96
2014-7-14,96
2014-7-15,89
2014-7-16,90
2014-7-17,89
2014-7-18,87
2014-7-19,85
2014-7-20,93
2014-7-21,96
2014-7-22,96
2014-7-23,95
2014-7-24,94
2014-7-25,95
2014-7-26,95
2014-7-27,97
2014-7-28,99
2014-7-29,92
2014-7-30,94
2014-7-31,94
2014-8-1,87
2014-8-2,82
2014-8-3,89
2014-8-4,92
2014-8-5,92
2014-8-6,94
2014-8-7,95
2014-8-8,97
2014-8-9,94
2014-8-10,94
2014-8-11,97
2014-8-12,97
2014-8-13,94
2014-8-14,93
2014-8-15,96
2014-8-16,98
2014-8-17,97
2014-8-18,96
2014-8-19,94
2014-8-20,96
2014-8-21,98
2014-8-22,98
2014-8-23,98
2014-8-24,98
2014-8-25,97
2014-8-26,97
2014-8-27,94
2014-8-28,90
2014-8-29,91
2014-8-30,92
2014-8-31,84
2014-9-1,93
2014-9-2,94
2014-9-3,93
2014-9-4,93
2014-9-5,93
2014-9-6,95
2014-9-7,95
2014-9-8,92
2014-9-9,95
2014-9-10,95
2014-9-11,97
2014-9-12,89
2014-9-13,77
2014-9-14,77
2014-9-15,92
2014-9-16,91
2014-9-17,89
2014-9-18,81
2014-9-19,84
2014-9-20,89
2014-9-21,91
2014-9-22,93
2014-9-23,84
2014-9-24,85
2014-9-25,80
2014-9-26,86
2014-9-27,86
2014-9-28,89
2014-9-29,89
2014-9-30,89
2014-10-1,93
2014-10-2,93
2014-10-3,84
2014-10-4,77
2014-10-5,85
2014-10-6,84
2014-10-7,90
2014-10-8,90
2014-10-9,90
2014-10-10,91
2014-10-11,85
2014-10-12,87
2014-10-13,85
2014-10-14,79
2014-10-15,84
2014-10-16,87
2014-10-17,86
2014-10-18,86
2014-10-19,81
2014-10-20,83
2014-10-21,82
2014-10-22,82
2014-10-23,80
2014-10-24,82
2014-10-25,85
2014-10-26,85
2014-10-27,86
2014-10-28,86
2014-10-29,84
2014-10-30,79
2014-10-31,79
2014-11-1,65
2014-11-2,72
2014-11-3,80
2014-11-4,82
2014-11-5,74
2014-11-6,66
2014-11-7,65
2014-11-8,75
2014-11-9,72
2014-11-10,80
2014-11-11,71
2014-11-12,58
2014-11-13,45
2014-11-14,47
2014-11-15,53
2014-11-16,57
2014-11-17,52
2014-11-18,55
2014-11-19,69
2014-11-20,76
2014-11-21,66
2014-11-22,68
2014-11-23,80
2014-11-24,66
2014-11-25,66
2014-11-26,73
2014-11-27,67
2014-11-28,71
2014-11-29,78
2014-11-30,80
2014-12-1,69
2014-12-2,56
2014-12-3,66
2014-12-4,72
2014-12-5,79
2014-12-6,71
2014-12-7,59
2014-12-8,67
2014-12-9,70
2014-12-10,69
2014-12-11,72
2014-12-12,75
2014-12-13,74
2014-12-14,76
2014-12-15,80
2014-12-16,66
2014-12-17,64
2014-12-18,70
2014-12-19,59
2014-12-20,54
2014-12-21,61
2014-12-22,72
2014-12-23,60
2014-12-24,55
2014-12-25,66
2014-12-26,71
2014-12-27,74
2014-12-28,46
2014-12-29,48
2014-12-30,53
2014-12-31,46
2015-1-1,47
2015-1-2,54
2015-1-3,53
2015-1-4,56
2015-1-5,54
2015-1-6,65
2015-1-7,62
2015-1-8,42
2015-1-9,40
2015-1-10,41
2015-1-11,49
2015-1-12,49
2015-1-13,46
2015-1-14,45
2015-1-15,54
2015-1-16,61
2015-1-17,69
2015-1-18,71
2015-1-19,72
2015-1-20,76
2015-1-21,67
2015-1-22,60
2015-1-23,44
2015-1-24,62
2015-1-25,70
2015-1-26,67
2015-1-27,81
2015-1-28,79
2015-1-29,75
2015-1-30,65
2015-1-31,63
2015-2-1,77
2015-2-2,50
2015-2-3,46
2015-2-4,61
2015-2-5,55
2015-2-6,56
2015-2-7,69
2015-2-8,77
2015-2-9,83
2015-2-10,74
2015-2-11,75
2015-2-12,66
2015-2-13,66
2015-2-14,78
2015-2-15,71
2015-2-16,68
2015-2-17,54
2015-2-18,64
2015-2-19,64
2015-2-20,69
2015-2-21,75
2015-2-22,80
2015-2-23,46
2015-2-24,43
2015-2-25,50
2015-2-26,55
2015-2-27,46
2015-2-28,57
2015-3-1,59
2015-3-2,60
2015-3-3,80
2015-3-4,83
2015-3-5,51
2015-3-6,57
2015-3-7,60
2015-3-8,53
2015-3-9,66
2015-3-10,60
2015-3-11,62
2015-3-12,62
2015-3-13,66
2015-3-14,77
2015-3-15,73
2015-3-16,77
2015-3-17,82
2015-3-18,82
2015-3-19,79
2015-3-20,82
2015-3-21,66
2015-3-22,76
2015-3-23,80
2015-3-24,80
2015-3-25,80
2015-3-26,69
2015-3-27,80
2015-3-28,82
2015-3-29,82
2015-3-30,83
2015-3-31,83
2015-4-1,79
2015-4-2,84
2015-4-3,82
2015-4-4,73
2015-4-5,67
2015-4-6,82
2015-4-7,87
2015-4-8,84
2015-4-9,86
2015-4-10,74
2015-4-11,77
2015-4-12,80
2015-4-13,86
2015-4-14,76
2015-4-15,81
2015-4-16,82
2015-4-17,83
2015-4-18,78
2015-4-19,86
2015-4-20,74
2015-4-21,79
2015-4-22,84
2015-4-23,88
2015-4-24,85
2015-4-25,88
2015-4-26,85
2015-4-27,78
2015-4-28,71
2015-4-29,78
2015-4-30,82
2015-5-1,84
2015-5-2,83
2015-5-3,83
2015-5-4,84
2015-5-5,82
2015-5-6,83
2015-5-7,85
2015-5-8,85
2015-5-9,87
2015-5-10,87
2015-5-11,80
2015-5-12,79
2015-5-13,81
2015-5-14,87
2015-5-15,84
2015-5-16,89
2015-5-17,85
2015-5-18,86
2015-5-19,86
2015-5-20,89
2015-5-21,82
2015-5-22,79
2015-5-23,85
2015-5-24,81
2015-5-25,88
2015-5-26,85
2015-5-27,86
2015-5-28,90
2015-5-29,89
2015-5-30,91
2015-5-31,87
2015-6-1,89
2015-6-2,90
2015-6-3,91
2015-6-4,90
2015-6-5,92
2015-6-6,93
2015-6-7,93
2015-6-8,93
2015-6-9,93
2015-6-10,94
2015-6-11,94
2015-6-12,92
2015-6-13,86
2015-6-14,88
2015-6-15,90
2015-6-16,80
2015-6-17,84
2015-6-18,86
2015-6-19,90
2015-6-20,90
2015-6-21,93
2015-6-22,92
2015-6-23,92
2015-6-24,93
2015-6-25,94
2015-6-26,94
2015-6-27,93
2015-6-28,90
2015-6-29,92
2015-6-30,92