month,precipitation
2014-7,2.39
2014-8,3.16
2014-9,3.29
2014-10,2.92
2014-11,2.18
2014-12,1.88
2015-1,1.87
2015-2,1.97
2015-3,2.26
2015-4,2.43
2015-5,2.05
2015-6,2.21