date,actual_min_temp
2014-7-1,60
2014-7-2,58
2014-7-3,57
2014-7-4,57
2014-7-5,56
2014-7-6,59
2014-7-7,64
2014-7-8,60
2014-7-9,57
2014-7-10,55
2014-7-11,59
2014-7-12,62
2014-7-13,59
2014-7-14,59
2014-7-15,57
2014-7-16,58
2014-7-17,57
2014-7-18,53
2014-7-19,59
2014-7-20,58
2014-7-21,56
2014-7-22,56
2014-7-23,56
2014-7-24,55
2014-7-25,54
2014-7-26,56
2014-7-27,59
2014-7-28,59
2014-7-29,60
2014-7-30,58
2014-7-31,64
2014-8-1,59
2014-8-2,60
2014-8-3,58
2014-8-4,61
2014-8-5,57
2014-8-6,59
2014-8-7,56
2014-8-8,56
2014-8-9,60
2014-8-10,57
2014-8-11,64
2014-8-12,63
2014-8-13,59
2014-8-14,63
2014-8-15,62
2014-8-16,60
2014-8-17,59
2014-8-18,60
2014-8-19,60
2014-8-20,57
2014-8-21,52
2014-8-22,56
2014-8-23,57
2014-8-24,56
2014-8-25,58
2014-8-26,60
2014-8-27,61
2014-8-28,58
2014-8-29,59
2014-8-30,59
2014-8-31,57
2014-9-1,55
2014-9-2,57
2014-9-3,55
2014-9-4,52
2014-9-5,57
2014-9-6,59
2014-9-7,56
2014-9-8,56
2014-9-9,56
2014-9-10,54
2014-9-11,55
2014-9-12,55
2014-9-13,50
2014-9-14,53
2014-9-15,54
2014-9-16,57
2014-9-17,58
2014-9-18,59
2014-9-19,61
2014-9-20,58
2014-9-21,55
2014-9-22,59
2014-9-23,58
2014-9-24,58
2014-9-25,58
2014-9-26,57
2014-9-27,53
2014-9-28,54
2014-9-29,52
2014-9-30,54
2014-10-1,52
2014-10-2,50
2014-10-3,48
2014-10-4,54
2014-10-5,53
2014-10-6,56
2014-10-7,57
2014-10-8,55
2014-10-9,52
2014-10-10,50
2014-10-11,53
2014-10-12,53
2014-10-13,50
2014-10-14,53
2014-10-15,53
2014-10-16,52
2014-10-17,53
2014-10-18,57
2014-10-19,55
2014-10-20,54
2014-10-21,53
2014-10-22,53
2014-10-23,47
2014-10-24,48
2014-10-25,47
2014-10-26,46
2014-10-27,44
2014-10-28,49
2014-10-29,53
2014-10-30,52
2014-10-31,47
2014-11-1,45
2014-11-2,45
2014-11-3,52
2014-11-4,51
2014-11-5,51
2014-11-6,51
2014-11-7,45
2014-11-8,39
2014-11-9,46
2014-11-10,42
2014-11-11,34
2014-11-12,32
2014-11-13,33
2014-11-14,28
2014-11-15,29
2014-11-16,28
2014-11-17,28
2014-11-18,31
2014-11-19,36
2014-11-20,42
2014-11-21,47
2014-11-22,44
2014-11-23,42
2014-11-24,40
2014-11-25,49
2014-11-26,54
2014-11-27,53
2014-11-28,38
2014-11-29,24
2014-11-30,23
2014-12-1,26
2014-12-2,26
2014-12-3,32
2014-12-4,39
2014-12-5,44
2014-12-6,46
2014-12-7,43
2014-12-8,48
2014-12-9,51
2014-12-10,50
2014-12-11,47
2014-12-12,45
2014-12-13,39
2014-12-14,35
2014-12-15,44
2014-12-16,47
2014-12-17,43
2014-12-18,44
2014-12-19,45
2014-12-20,44
2014-12-21,50
2014-12-22,43
2014-12-23,41
2014-12-24,39
2014-12-25,37
2014-12-26,35
2014-12-27,40
2014-12-28,37
2014-12-29,33
2014-12-30,28
2014-12-31,27
2015-1-1,26
2015-1-2,32
2015-1-3,35
2015-1-4,38
2015-1-5,49
2015-1-6,43
2015-1-7,42
2015-1-8,35
2015-1-9,38
2015-1-10,43
2015-1-11,45
2015-1-12,40
2015-1-13,37
2015-1-14,33
2015-1-15,34
2015-1-16,42
2015-1-17,38
2015-1-18,45
2015-1-19,43
2015-1-20,38
2015-1-21,31
2015-1-22,43
2015-1-23,47
2015-1-24,52
2015-1-25,45
2015-1-26,43
2015-1-27,47
2015-1-28,41
2015-1-29,38
2015-1-30,34
2015-1-31,38
2015-2-1,40
2015-2-2,41
2015-2-3,42
2015-2-4,40
2015-2-5,47
2015-2-6,50
2015-2-7,49
2015-2-8,47
2015-2-9,47
2015-2-10,47
2015-2-11,42
2015-2-12,49
2015-2-13,44
2015-2-14,44
2015-2-15,39
2015-2-16,42
2015-2-17,40
2015-2-18,40
2015-2-19,47
2015-2-20,45
2015-2-21,42
2015-2-22,38
2015-2-23,33
2015-2-24,36
2015-2-25,44
2015-2-26,46
2015-2-27,44
2015-2-28,38
2015-3-1,34
2015-3-2,40
2015-3-3,32
2015-3-4,31
2015-3-5,37
2015-3-6,38
2015-3-7,39
2015-3-8,39
2015-3-9,40
2015-3-10,41
2015-3-11,48
2015-3-12,49
2015-3-13,46
2015-3-14,49
2015-3-15,43
2015-3-16,43
2015-3-17,40
2015-3-18,45
2015-3-19,47
2015-3-20,48
2015-3-21,47
2015-3-22,43
2015-3-23,42
2015-3-24,43
2015-3-25,45
2015-3-26,50
2015-3-27,48
2015-3-28,49
2015-3-29,48
2015-3-30,51
2015-3-31,43
2015-4-1,42
2015-4-2,42
2015-4-3,41
2015-4-4,39
2015-4-5,37
2015-4-6,44
2015-4-7,44
2015-4-8,43
2015-4-9,43
2015-4-10,46
2015-4-11,42
2015-4-12,42
2015-4-13,39
2015-4-14,37
2015-4-15,38
2015-4-16,39
2015-4-17,43
2015-4-18,47
2015-4-19,47
2015-4-20,46
2015-4-21,44
2015-4-22,41
2015-4-23,44
2015-4-24,43
2015-4-25,42
2015-4-26,40
2015-4-27,51
2015-4-28,48
2015-4-29,45
2015-4-30,46
2015-5-1,48
2015-5-2,46
2015-5-3,46
2015-5-4,45
2015-5-5,45
2015-5-6,45
2015-5-7,43
2015-5-8,47
2015-5-9,49
2015-5-10,52
2015-5-11,50
2015-5-12,51
2015-5-13,50
2015-5-14,49
2015-5-15,49
2015-5-16,52
2015-5-17,51
2015-5-18,54
2015-5-19,53
2015-5-20,51
2015-5-21,53
2015-5-22,53
2015-5-23,53
2015-5-24,52
2015-5-25,52
2015-5-26,53
2015-5-27,53
2015-5-28,54
2015-5-29,55
2015-5-30,50
2015-5-31,53
2015-6-1,53
2015-6-2,55
2015-6-3,53
2015-6-4,53
2015-6-5,55
2015-6-6,56
2015-6-7,60
2015-6-8,58
2015-6-9,58
2015-6-10,52
2015-6-11,52
2015-6-12,53
2015-6-13,49
2015-6-14,53
2015-6-15,61
2015-6-16,52
2015-6-17,52
2015-6-18,57
2015-6-19,56
2015-6-20,55
2015-6-21,57
2015-6-22,55
2015-6-23,53
2015-6-24,61
2015-6-25,60
2015-6-26,64
2015-6-27,63
2015-6-28,65
2015-6-29,63
2015-6-30,59