date,record_min_temp
2014-7-1,45
2014-7-2,43
2014-7-3,44
2014-7-4,43
2014-7-5,47
2014-7-6,45
2014-7-7,47
2014-7-8,47
2014-7-9,48
2014-7-10,46
2014-7-11,49
2014-7-12,47
2014-7-13,50
2014-7-14,50
2014-7-15,49
2014-7-16,50
2014-7-17,48
2014-7-18,47
2014-7-19,48
2014-7-20,50
2014-7-21,48
2014-7-22,49
2014-7-23,47
2014-7-24,43
2014-7-25,47
2014-7-26,49
2014-7-27,46
2014-7-28,47
2014-7-29,45
2014-7-30,48
2014-7-31,47
2014-8-1,50
2014-8-2,46
2014-8-3,46
2014-8-4,44
2014-8-5,49
2014-8-6,50
2014-8-7,48
2014-8-8,47
2014-8-9,47
2014-8-10,46
2014-8-11,46
2014-8-12,49
2014-8-13,44
2014-8-14,44
2014-8-15,47
2014-8-16,50
2014-8-17,45
2014-8-18,47
2014-8-19,48
2014-8-20,47
2014-8-21,46
2014-8-22,45
2014-8-23,46
2014-8-24,45
2014-8-25,45
2014-8-26,46
2014-8-27,44
2014-8-28,46
2014-8-29,44
2014-8-30,45
2014-8-31,46
2014-9-1,46
2014-9-2,41
2014-9-3,45
2014-9-4,42
2014-9-5,44
2014-9-6,45
2014-9-7,45
2014-9-8,43
2014-9-9,40
2014-9-10,39
2014-9-11,40
2014-9-12,44
2014-9-13,39
2014-9-14,46
2014-9-15,42
2014-9-16,44
2014-9-17,42
2014-9-18,41
2014-9-19,40
2014-9-20,40
2014-9-21,39
2014-9-22,37
2014-9-23,40
2014-9-24,38
2014-9-25,36
2014-9-26,39
2014-9-27,35
2014-9-28,38
2014-9-29,37
2014-9-30,36
2014-10-1,35
2014-10-2,35
2014-10-3,39
2014-10-4,38
2014-10-5,38
2014-10-6,37
2014-10-7,37
2014-10-8,39
2014-10-9,35
2014-10-10,40
2014-10-11,37
2014-10-12,40
2014-10-13,35
2014-10-14,36
2014-10-15,35
2014-10-16,35
2014-10-17,34
2014-10-18,32
2014-10-19,28
2014-10-20,29
2014-10-21,32
2014-10-22,34
2014-10-23,32
2014-10-24,33
2014-10-25,31
2014-10-26,29
2014-10-27,31
2014-10-28,30
2014-10-29,31
2014-10-30,30
2014-10-31,30
2014-11-1,30
2014-11-2,31
2014-11-3,29
2014-11-4,30
2014-11-5,31
2014-11-6,30
2014-11-7,31
2014-11-8,27
2014-11-9,27
2014-11-10,30
2014-11-11,15
2014-11-12,13
2014-11-13,14
2014-11-14,9
2014-11-15,6
2014-11-16,21
2014-11-17,23
2014-11-18,29
2014-11-19,25
2014-11-20,25
2014-11-21,21
2014-11-22,14
2014-11-23,10
2014-11-24,14
2014-11-25,18
2014-11-26,25
2014-11-27,19
2014-11-28,17
2014-11-29,18
2014-11-30,21
2014-12-1,20
2014-12-2,25
2014-12-3,27
2014-12-4,21
2014-12-5,23
2014-12-6,19
2014-12-7,18
2014-12-8,13
2014-12-9,18
2014-12-10,16
2014-12-11,21
2014-12-12,22
2014-12-13,19
2014-12-14,22
2014-12-15,19
2014-12-16,10
2014-12-17,11
2014-12-18,18
2014-12-19,17
2014-12-20,14
2014-12-21,12
2014-12-22,14
2014-12-23,9
2014-12-24,16
2014-12-25,24
2014-12-26,22
2014-12-27,20
2014-12-28,12
2014-12-29,8
2014-12-30,6
2014-12-31,13
2015-1-1,10
2015-1-2,6
2015-1-3,6
2015-1-4,14
2015-1-5,15
2015-1-6,14
2015-1-7,19
2015-1-8,18
2015-1-9,13
2015-1-10,12
2015-1-11,12
2015-1-12,13
2015-1-13,11
2015-1-14,8
2015-1-15,15
2015-1-16,13
2015-1-17,15
2015-1-18,9
2015-1-19,18
2015-1-20,16
2015-1-21,13
2015-1-22,19
2015-1-23,16
2015-1-24,10
2015-1-25,7
2015-1-26,9
2015-1-27,11
2015-1-28,7
2015-1-29,6
2015-1-30,7
2015-1-31,0
2015-2-1,1
2015-2-2,8
2015-2-3,8
2015-2-4,7
2015-2-5,14
2015-2-6,18
2015-2-7,20
2015-2-8,22
2015-2-9,26
2015-2-10,24
2015-2-11,23
2015-2-12,21
2015-2-13,18
2015-2-14,22
2015-2-15,13
2015-2-16,13
2015-2-17,23
2015-2-18,20
2015-2-19,22
2015-2-20,25
2015-2-21,25
2015-2-22,30
2015-2-23,27
2015-2-24,24
2015-2-25,20
2015-2-26,18
2015-2-27,20
2015-2-28,24
2015-3-1,23
2015-3-2,22
2015-3-3,20
2015-3-4,11
2015-3-5,13
2015-3-6,26
2015-3-7,26
2015-3-8,28
2015-3-9,28
2015-3-10,20
2015-3-11,23
2015-3-12,25
2015-3-13,28
2015-3-14,26
2015-3-15,30
2015-3-16,29
2015-3-17,27
2015-3-18,29
2015-3-19,27
2015-3-20,26
2015-3-21,29
2015-3-22,28
2015-3-23,28
2015-3-24,30
2015-3-25,31
2015-3-26,32
2015-3-27,26
2015-3-28,26
2015-3-29,24
2015-3-30,27
2015-3-31,30
2015-4-1,29
2015-4-2,30
2015-4-3,32
2015-4-4,31
2015-4-5,29
2015-4-6,31
2015-4-7,29
2015-4-8,29
2015-4-9,34
2015-4-10,30
2015-4-11,35
2015-4-12,33
2015-4-13,33
2015-4-14,33
2015-4-15,33
2015-4-16,34
2015-4-17,33
2015-4-18,34
2015-4-19,33
2015-4-20,30
2015-4-21,29
2015-4-22,35
2015-4-23,31
2015-4-24,30
2015-4-25,34
2015-4-26,32
2015-4-27,31
2015-4-28,31
2015-4-29,31
2015-4-30,32
2015-5-1,28
2015-5-2,33
2015-5-3,35
2015-5-4,33
2015-5-5,36
2015-5-6,36
2015-5-7,33
2015-5-8,36
2015-5-9,38
2015-5-10,38
2015-5-11,35
2015-5-12,38
2015-5-13,37
2015-5-14,36
2015-5-15,38
2015-5-16,40
2015-5-17,39
2015-5-18,37
2015-5-19,38
2015-5-20,40
2015-5-21,39
2015-5-22,37
2015-5-23,37
2015-5-24,37
2015-5-25,37
2015-5-26,40
2015-5-27,37
2015-5-28,38
2015-5-29,35
2015-5-30,36
2015-5-31,35
2015-6-1,40
2015-6-2,40
2015-6-3,42
2015-6-4,41
2015-6-5,41
2015-6-6,42
2015-6-7,44
2015-6-8,42
2015-6-9,44
2015-6-10,44
2015-6-11,40
2015-6-12,38
2015-6-13,42
2015-6-14,43
2015-6-15,43
2015-6-16,42
2015-6-17,43
2015-6-18,43
2015-6-19,43
2015-6-20,43
2015-6-21,45
2015-6-22,45
2015-6-23,40
2015-6-24,45
2015-6-25,45
2015-6-26,46
2015-6-27,45
2015-6-28,45
2015-6-29,45
2015-6-30,43